instrument,resolution,phase,ft_h1,ft_h5,ft_h20,ft_mean,base_h1,base_h5,base_h20,base_mean,delta_h1,delta_h5,delta_h20,delta_mean,recommendation,checkpoint_path
TSX_MFCTO,1W,3,0.516,0.468,0.677,0.554,0.516,0.468,0.710,0.565,+0.000,+0.000,-0.033,-0.011,base,models/fine_tuned/checkpoint_TSX_MFCTO_1W_phase3_20260405.pt
TSX_RYTO,1D,3,0.548,0.551,0.581,0.560,0.545,0.561,0.576,0.561,+0.003,-0.010,+0.005,-0.001,fine_tuned,models/fine_tuned/checkpoint_TSX_RYTO_1D_phase3_20260405.pt
TSX_TDTO,1D,3,0.533,0.548,0.573,0.551,0.523,0.520,0.540,0.528,+0.010,+0.028,+0.033,+0.024,fine_tuned,models/fine_tuned/checkpoint_TSX_TDTO_1D_phase3_20260405.pt
ASX_ANZAX,4H,1,0.500,0.558,0.538,0.532,0.519,0.481,0.462,0.487,-0.019,+0.077,+0.076,+0.045,fine_tuned,models/fine_tuned/checkpoint_ASX_ANZAX_4H_phase1_20260404.pt
ASX_BHPAX,1D,1,0.530,0.522,0.472,0.508,0.522,0.515,0.472,0.503,+0.008,+0.007,+0.000,+0.005,fine_tuned,models/fine_tuned/checkpoint_ASX_BHPAX_1D_phase1_20260404.pt
ASX_BHPAX,4H,1,0.442,0.462,0.519,0.474,0.442,0.442,0.519,0.468,+0.000,+0.020,+0.000,+0.007,fine_tuned,models/fine_tuned/checkpoint_ASX_BHPAX_4H_phase1_20260404.pt
ASX_CBAAX,1D,1,0.552,0.550,0.490,0.531,0.552,0.555,0.492,0.533,+0.000,-0.005,-0.002,-0.002,base,models/fine_tuned/checkpoint_ASX_CBAAX_1D_phase1_20260404.pt
ASX_CBAAX,4H,1,0.596,0.519,0.346,0.487,0.596,0.519,0.327,0.481,+0.000,+0.000,+0.019,+0.006,fine_tuned,models/fine_tuned/checkpoint_ASX_CBAAX_4H_phase1_20260404.pt
ASX_CSLAX,4H,1,0.673,0.692,0.788,0.718,0.673,0.673,0.788,0.711,+0.000,+0.019,+0.000,+0.006,fine_tuned,models/fine_tuned/checkpoint_ASX_CSLAX_4H_phase1_20260404.pt
ASX_WBCAX,1D,1,0.537,0.545,0.525,0.536,0.540,0.537,0.515,0.531,-0.003,+0.008,+0.010,+0.005,fine_tuned,models/fine_tuned/checkpoint_ASX_WBCAX_1D_phase1_20260404.pt
ASX_WBCAX,4H,1,0.442,0.462,0.500,0.468,0.481,0.462,0.327,0.423,-0.039,+0.000,+0.173,+0.045,fine_tuned,models/fine_tuned/checkpoint_ASX_WBCAX_4H_phase1_20260404.pt
CBOT_ZWF,1D,1,0.559,0.537,0.494,0.530,0.554,0.537,0.496,0.529,+0.005,+0.000,-0.002,+0.001,fine_tuned,models/fine_tuned/checkpoint_CBOT_ZWF_1D_phase1_20260404.pt
CBOT_ZWF,4H,1,0.485,0.503,0.491,0.493,0.485,0.503,0.488,0.492,+0.000,+0.000,+0.003,+0.001,fine_tuned,models/fine_tuned/checkpoint_CBOT_ZWF_4H_phase1_20260404.pt
COMEX_GCF,1H,1,0.577,0.561,0.558,0.565,0.579,0.563,0.563,0.568,-0.002,-0.002,-0.005,-0.003,base,models/fine_tuned/checkpoint_COMEX_GCF_1H_phase1_20260404.pt
COMEX_GCF,1W,1,0.419,0.435,0.355,0.403,0.419,0.403,0.274,0.365,+0.000,+0.032,+0.081,+0.038,fine_tuned,models/fine_tuned/checkpoint_COMEX_GCF_1W_phase1_20260404.pt
COMEX_GCF,4H,1,0.515,0.510,0.515,0.513,0.494,0.506,0.499,0.500,+0.021,+0.004,+0.016,+0.014,fine_tuned,models/fine_tuned/checkpoint_COMEX_GCF_4H_phase1_20260404.pt
COMEX_HGF,1H,1,0.551,0.538,0.524,0.538,0.551,0.529,0.524,0.535,+0.000,+0.009,+0.000,+0.003,fine_tuned,models/fine_tuned/checkpoint_COMEX_HGF_1H_phase1_20260404.pt
COMEX_HGF,1W,1,0.516,0.468,0.452,0.479,0.516,0.452,0.452,0.473,+0.000,+0.016,+0.000,+0.005,fine_tuned,models/fine_tuned/checkpoint_COMEX_HGF_1W_phase1_20260404.pt
COMEX_HGF,4H,1,0.557,0.552,0.561,0.557,0.557,0.554,0.564,0.558,+0.000,-0.002,-0.003,-0.002,base,models/fine_tuned/checkpoint_COMEX_HGF_4H_phase1_20260404.pt
COMEX_SIF,1H,1,0.561,0.540,0.492,0.531,0.524,0.501,0.465,0.497,+0.037,+0.039,+0.027,+0.034,fine_tuned,models/fine_tuned/checkpoint_COMEX_SIF_1H_phase1_20260404.pt
COMEX_SIF,1W,1,0.419,0.435,0.306,0.387,0.419,0.419,0.339,0.392,+0.000,+0.016,-0.033,-0.006,base,models/fine_tuned/checkpoint_COMEX_SIF_1W_phase1_20260404.pt
COMEX_SIF,4H,1,0.522,0.517,0.522,0.520,0.517,0.508,0.520,0.515,+0.005,+0.009,+0.002,+0.005,fine_tuned,models/fine_tuned/checkpoint_COMEX_SIF_4H_phase1_20260404.pt
CRYPTO_BTC-USD,4H,1,0.542,0.519,0.545,0.535,0.542,0.516,0.538,0.532,+0.000,+0.003,+0.007,+0.003,fine_tuned,models/fine_tuned/checkpoint_CRYPTO_BTC-USD_4H_phase1_20260404.pt
CRYPTO_ETH-USD,4H,1,0.555,0.540,0.562,0.552,0.553,0.530,0.538,0.540,+0.002,+0.010,+0.024,+0.012,fine_tuned,models/fine_tuned/checkpoint_CRYPTO_ETH-USD_4H_phase1_20260404.pt
DAX_GDAXI,4H,1,0.553,0.548,0.583,0.561,0.558,0.548,0.583,0.563,-0.005,+0.000,+0.000,-0.002,base,models/fine_tuned/checkpoint_DAX_GDAXI_4H_phase1_20260404.pt
EURONEXT_ASMLAS,1D,1,0.526,0.536,0.506,0.523,0.511,0.543,0.509,0.521,+0.015,-0.007,-0.003,+0.002,fine_tuned,models/fine_tuned/checkpoint_EURONEXT_ASMLAS_1D_phase1_20260404.pt
EURONEXT_ASMLAS,4H,1,0.555,0.535,0.555,0.548,0.555,0.530,0.555,0.547,+0.000,+0.005,+0.000,+0.002,fine_tuned,models/fine_tuned/checkpoint_EURONEXT_ASMLAS_4H_phase1_20260404.pt
EURONEXT_MCPA,4H,1,0.580,0.580,0.600,0.587,0.575,0.590,0.600,0.588,+0.005,-0.010,+0.000,-0.002,base,models/fine_tuned/checkpoint_EURONEXT_MCPA_4H_phase1_20260404.pt
EURONEXT_SAPDE,4H,1,0.505,0.515,0.581,0.534,0.510,0.520,0.581,0.537,-0.005,-0.005,+0.000,-0.003,base,models/fine_tuned/checkpoint_EURONEXT_SAPDE_4H_phase1_20260404.pt
EURONEXT_SIEDE,4H,1,0.581,0.540,0.581,0.567,0.581,0.545,0.586,0.571,+0.000,-0.005,-0.005,-0.003,base,models/fine_tuned/checkpoint_EURONEXT_SIEDE_4H_phase1_20260404.pt
EURONEXT_TTEPA,1D,1,0.536,0.541,0.481,0.519,0.541,0.526,0.486,0.518,-0.005,+0.015,-0.005,+0.002,fine_tuned,models/fine_tuned/checkpoint_EURONEXT_TTEPA_1D_phase1_20260404.pt
EURONEXT_TTEPA,4H,1,0.550,0.550,0.545,0.548,0.550,0.560,0.540,0.550,+0.000,-0.010,+0.005,-0.002,base,models/fine_tuned/checkpoint_EURONEXT_TTEPA_4H_phase1_20260404.pt
FOREXCOM_AUDNZDX,1W,1,0.452,0.468,0.290,0.403,0.468,0.468,0.274,0.403,-0.016,+0.000,+0.016,+0.000,fine_tuned,models/fine_tuned/checkpoint_FOREXCOM_AUDNZDX_1W_phase1_20260404.pt
FOREXCOM_AUDNZDX,4H,1,0.524,0.528,0.512,0.521,0.521,0.524,0.519,0.521,+0.003,+0.004,-0.007,+0.000,fine_tuned,models/fine_tuned/checkpoint_FOREXCOM_AUDNZDX_4H_phase1_20260404.pt
FOREXCOM_AUDUSDX,1D,1,0.529,0.512,0.493,0.511,0.532,0.510,0.466,0.503,-0.003,+0.002,+0.027,+0.009,fine_tuned,models/fine_tuned/checkpoint_FOREXCOM_AUDUSDX_1D_phase1_20260404.pt
FOREXCOM_AUDUSDX,1W,1,0.597,0.532,0.516,0.548,0.597,0.532,0.516,0.548,+0.000,+0.000,+0.000,+0.000,fine_tuned,models/fine_tuned/checkpoint_FOREXCOM_AUDUSDX_1W_phase1_20260404.pt
FOREXCOM_AUDUSDX,4H,1,0.571,0.539,0.544,0.551,0.566,0.542,0.546,0.551,+0.005,-0.003,-0.002,+0.000,fine_tuned,models/fine_tuned/checkpoint_FOREXCOM_AUDUSDX_4H_phase1_20260404.pt
FOREXCOM_EURCHFX,4H,1,0.532,0.547,0.541,0.540,0.541,0.529,0.536,0.535,-0.009,+0.018,+0.005,+0.005,fine_tuned,models/fine_tuned/checkpoint_FOREXCOM_EURCHFX_4H_phase1_20260404.pt
