78887i8p2026-04-02 04:26:17,234  INFO      Stage 5 Training Loop — Start
2026-04-02 05:17:46,631  INFO      Epoch   9 | TrainLoss 0.0897 (BCE 0.1721 Huber 0.0073) | ValLoss 0.0907 (BCE 0.1733 Huber 0.0080) | Gap -0.0010 | ValAcc H1=0.534 H5=0.530 H20=0.523 | LR 2.70e-04 | GradNorm 0.005
2026-04-02 05:23:38,264  INFO      Epoch  10 | TrainLoss 0.0896 (BCE 0.1720 Huber 0.0073) | ValLoss 0.0906 (BCE 0.1732 Huber 0.0080) | Gap -0.0010 | ValAcc H1=0.536 H5=0.528 H20=0.522 | LR 3.00e-04 | GradNorm 0.005
2026-04-02 05:29:25,001  INFO      Epoch  11 | TrainLoss 0.0895 (BCE 0.1718 Huber 0.0073) | ValLoss 0.0905 (BCE 0.1729 Huber 0.0080) | Gap -0.0010 | ValAcc H1=0.531 H5=0.531 H20=0.522 | LR 2.14e-04 | GradNorm 0.005
2026-04-02 05:35:13,177  INFO      Epoch  12 | TrainLoss 0.0895 (BCE 0.1716 Huber 0.0073) | ValLoss 0.0908 (BCE 0.1735 Huber 0.0080) | Gap -0.0013 | ValAcc H1=0.533 H5=0.530 H20=0.517 | LR 2.00e-04 | GradNorm 0.005
2026-04-02 05:41:03,562  INFO      Epoch  13 | TrainLoss 0.0893 (BCE 0.1714 Huber 0.0073) | ValLoss 0.0909 (BCE 0.1738 Huber 0.0081) | Gap -0.0016 | ValAcc H1=0.529 H5=0.523 H20=0.518 | LR 1.85e-04 | GradNorm 0.006
2026-04-02 05:46:49,972  INFO      Epoch  14 | TrainLoss 0.0894 (BCE 0.1715 Huber 0.0072) | ValLoss 0.0908 (BCE 0.1736 Huber 0.0080) | Gap -0.0015 | ValAcc H1=0.529 H5=0.525 H20=0.519 | LR 1.70e-04 | GradNorm 0.006
2026-04-02 05:52:36,002  INFO      Epoch  15 | TrainLoss 0.0892 (BCE 0.1712 Huber 0.0072) | ValLoss 0.0909 (BCE 0.1737 Huber 0.0081) | Gap -0.0017 | ValAcc H1=0.529 H5=0.526 H20=0.521 | LR 1.55e-04 | GradNorm 0.006
2026-04-02 05:58:26,340  INFO      Epoch  16 | TrainLoss 0.0892 (BCE 0.1711 Huber 0.0072) | ValLoss 0.0909 (BCE 0.1738 Huber 0.0081) | Gap -0.0018 | ValAcc H1=0.530 H5=0.525 H20=0.521 | LR 1.40e-04 | GradNorm 0.007
2026-04-02 13:21:32,759  INFO      Stage 5 Training Loop — Start
2026-04-02 13:21:32,760  INFO      Device : cpu
2026-04-02 13:21:32,760  INFO      Config : LR=3e-04  Batch=256  MaxEpochs=200  Patience=20
2026-04-02 13:21:32,760  INFO      Folds to train: [1, 2, 3]
2026-04-02 13:21:32,760  INFO      ============================================================
2026-04-02 13:21:32,761  INFO      FOLD 1 — Training
2026-04-02 13:21:33,658  INFO      Loading datasets...
2026-04-02 13:22:10,710  INFO          Index built: 94067 samples from 104 files
2026-04-02 13:22:20,801  INFO          Index built: 15466 samples from 104 files
2026-04-02 13:22:20,801  INFO        Train samples: 94067  Val samples: 15466
2026-04-02 13:22:31,589  INFO      Starting training — max 200 epochs, patience 20
2026-04-02 13:28:12,861  INFO      Epoch   1 | TrainLoss 0.0903 (BCE 0.1733 Huber 0.0074) | ValLoss 0.0906 (BCE 0.1732 Huber 0.0080) | Gap -0.0003 | ValAcc H1=0.529 H5=0.521 H20=0.508 | LR 3.00e-05 | GradNorm 0.007
2026-04-02 13:33:48,585  INFO      Epoch   2 | TrainLoss 0.0900 (BCE 0.1727 Huber 0.0073) | ValLoss 0.0905 (BCE 0.1731 Huber 0.0080) | Gap -0.0005 | ValAcc H1=0.534 H5=0.525 H20=0.513 | LR 6.00e-05 | GradNorm 0.006
